train_acc,train_loss,val_acc,val_loss
0.021473684210526315,4.441593,0.03,4.3073087
0.038547368421052636,4.2104344,0.0504,4.138187
0.06061052631578948,4.0760584,0.0548,4.421138
0.07612631578947368,3.9816337,0.09720000000000001,3.8463497
0.09301052631578949,3.891599,0.07800000000000001,4.039018
0.1073684210526316,3.8120248,0.1012,3.8396845
0.11730526315789475,3.7263095,0.13,3.598597
0.1282105263157895,3.6692522,0.09759999999999999,4.0732865
0.13886315789473683,3.596565,0.1512,3.5002205
0.15418947368421054,3.521455,0.1704,3.4119492
0.16160000000000002,3.4833689,0.1424,3.720886
0.17522105263157892,3.411701,0.19879999999999998,3.2975333
0.18317894736842102,3.3702385,0.1796,3.3831503
0.18978947368421054,3.334815,0.17560000000000003,3.3990612
0.20002105263157893,3.2778034,0.226,3.1582284
0.20703157894736843,3.2392182,0.15720000000000003,3.6224558
0.21397894736842107,3.2001688,0.22960000000000005,3.1014564
0.22322105263157896,3.1481872,0.2348,3.0627987
0.23130526315789474,3.1152606,0.20199999999999999,3.3374588
0.23934736842105261,3.0728052,0.2548,2.9713378
0.24741052631578947,3.031193,0.21800000000000005,3.1254842
0.2521052631578947,3.0170703,0.24479999999999996,3.0140672
0.2598736842105263,2.963048,0.2768,2.8769197
0.26656842105263157,2.9410906,0.2184,3.3103216
0.2723578947368421,2.909906,0.2728,2.86155
0.27964210526315786,2.87127,0.2732,2.875447
0.27827368421052634,2.8641546,0.2416,3.0356379
0.28665263157894744,2.8252046,0.2908,2.7712736
0.29465263157894733,2.7901676,0.25439999999999996,3.0526338
0.29479999999999995,2.790385,0.272,2.8934894
0.30048421052631585,2.7532182,0.30800000000000005,2.7109323
0.3035578947368421,2.7324085,0.26720000000000005,2.9354162
0.3076842105263158,2.711613,0.324,2.6872683
0.3177684210526316,2.6769907,0.2804,2.8129525
0.31802105263157887,2.6705205,0.2736,2.9164367
0.3219157894736842,2.6467574,0.32280000000000003,2.6110659
0.3291368421052631,2.6129577,0.29960000000000003,2.736651
0.3277052631578947,2.6267433,0.2964,2.725885
0.3365684210526316,2.5781784,0.3372,2.5344067
0.33720000000000006,2.5678835,0.2948,2.7389715
0.33951578947368416,2.5502276,0.34559999999999996,2.558837
0.3447368421052632,2.5221312,0.33320000000000005,2.5590835
0.34541052631578945,2.5161102,0.272,2.9131498
0.3526947368421053,2.4887867,0.36440000000000006,2.4388711
0.3565684210526316,2.475573,0.3124,2.730449
0.3550736842105264,2.4749253,0.33720000000000006,2.5690186
0.36282105263157893,2.438677,0.35200000000000004,2.4595578
0.365578947368421,2.4259887,0.3004,2.7788851
0.3658736842105263,2.423617,0.3568,2.45279
0.37136842105263157,2.3972607,0.366,2.4167516
0.3733052631578947,2.40238,0.32280000000000003,2.6326175
0.3738526315789473,2.3724146,0.3724,2.388166
0.38071578947368423,2.3547966,0.34360000000000007,2.5640829
0.377578947368421,2.3672035,0.33720000000000006,2.5831115
0.38673684210526316,2.3289561,0.376,2.3786898
0.38498947368421055,2.3301528,0.3204,2.6901755
0.38831578947368417,2.3191338,0.3864,2.3554673
0.3913263157894737,2.2963262,0.3836,2.3579981
0.39033684210526315,2.2996569,0.336,2.6119146
0.3984421052631579,2.2818084,0.384,2.3230147
0.3988631578947368,2.2651832,0.3592,2.4669313
0.3985894736842105,2.2662835,0.3423999999999999,2.5403154
0.4041684210526316,2.2445092,0.3956,2.2930584
0.4057473684210527,2.2362773,0.3456,2.5707543
0.4047157894736842,2.2360635,0.38160000000000005,2.319199
0.4110526315789474,2.207714,0.3932,2.3070097
0.40842105263157896,2.2231712,0.3692000000000001,2.4465342
0.41591578947368424,2.2013476,0.39480000000000004,2.2629294
0.4188210526315789,2.182885,0.3136,2.7880018
0.41600000000000004,2.187166,0.3936,2.3248756
0.422421052631579,2.1599793,0.4072,2.2291567
0.4189473684210527,2.1645992,0.3332,2.669648
0.42151578947368423,2.1558473,0.39640000000000003,2.2366123
0.426421052631579,2.12835,0.39239999999999997,2.2961733
0.42374736842105265,2.1439838,0.35919999999999996,2.4274323
0.4300210526315789,2.121688,0.41240000000000004,2.2096403
0.4321894736842105,2.1143813,0.36080000000000007,2.4007556
0.4318947368421053,2.1196308,0.4003999999999999,2.3336844
0.4367578947368421,2.094144,0.4212,2.1689885
0.4353263157894737,2.094547,0.3372,2.714264
0.4337052631578947,2.1039996,0.39879999999999993,2.2380235
0.43869473684210525,2.0801053,0.4228,2.1837027
0.4401052631578948,2.0819063,0.3544,2.5249028
0.4440421052631579,2.0614555,0.4244,2.143427
0.4445473684210527,2.0513313,0.36519999999999997,2.5125132
0.44275789473684213,2.0586674,0.3963999999999999,2.3218582
0.4486526315789474,2.0355284,0.43200000000000005,2.0942695
0.4524631578947369,2.035213,0.3516,2.6034226
0.4513263157894737,2.028239,0.4172,2.1740348
0.45606315789473684,2.0070357,0.4228,2.1842551
0.4525052631578948,2.0181973,0.3516,2.5553894
0.45717894736842113,1.9999278,0.4431999999999999,2.0993078
0.460421052631579,1.9887639,0.41800000000000004,2.225978
0.4548210526315789,2.0009687,0.4303999999999999,2.1428854
0.46307368421052625,1.9815817,0.43079999999999996,2.1074357
0.46033684210526316,1.9755037,0.3944,2.3273003
0.46035789473684213,1.9809256,0.43920000000000003,2.0960336
0.4682315789473684,1.9537144,0.43959999999999994,2.0859575
0.4670947368421053,1.9535937,0.36719999999999997,2.4898834
0.47048421052631584,1.9488091,0.4412,2.051795
